model,variant,total_old,total_new,gain_raw,whitespace_saving,whitespace_saving_pct,word_charged_saving,word_charged_saving_pct,name_saving,name_saving_pct_of_total,name_saving_pct_of_word_charged,gain_subtraction
Mistral-7B-v0.1,conversation,111937610,102235322,8.67,5138695,53.0,4563593,47.0,1189417,12.3,26.1,7.69
gemma-2-9b,conversation,96456228,86531071,10.29,4505342,45.4,5419815,54.6,825379,8.3,15.2,9.52
Mistral-7B-v0.1,input,111937610,102792017,8.17,5170918,56.5,3974675,43.5,1187883,13.0,29.9,7.19
Mistral-7B-v0.1,output,111937610,101635623,9.2,5099858,49.5,5202129,50.5,1189833,11.5,22.9,8.23
gemma-2-9b,input,96456228,87336475,9.45,4488671,49.2,4631082,50.8,825340,9.1,17.8,8.67
gemma-2-9b,output,96456228,86836980,9.97,4416031,45.9,5203217,54.1,825337,8.6,15.9,9.2
DeepSeek-R1,conversation,95328168,90749287,4.8,21043,0.5,4557838,99.5,0,0.0,0.0,4.8
DeepSeek-R1,input,95328168,91655403,3.85,28017,0.8,3644748,99.2,0,0.0,0.0,3.85
DeepSeek-R1,output,95328168,91005134,4.53,2546,0.1,4320488,99.9,0,0.0,0.0,4.53
Llama-3.1-8B,conversation,95588423,90719272,5.09,-13106,-0.3,4882257,100.3,0,0.0,0.0,5.09
Llama-3.1-8B,input,95588423,91631330,4.14,-6610,-0.2,3963703,100.2,0,0.0,0.0,4.14
Llama-3.1-8B,output,95588423,90977416,4.82,-33999,-0.7,4645006,100.7,0,0.0,0.0,4.82
bloom,conversation,96843089,83965572,13.3,62070,0.5,12815447,99.5,807907,6.3,6.3,12.57
bloom,input,96843089,85145980,12.08,55588,0.5,11641521,99.5,808028,6.9,6.9,11.34
bloom,output,96843089,84322170,12.93,47392,0.4,12473527,99.6,807865,6.5,6.5,12.2
phi-4,conversation,97992637,91784483,6.34,-11182,-0.2,6219336,100.2,0,0.0,0.0,6.34
phi-4,input,97992637,92783877,5.32,-1717,-0.0,5210477,100.0,0,0.0,0.0,5.32
phi-4,output,97992637,92056424,6.06,-34720,-0.6,5970933,100.6,0,0.0,0.0,6.06
