token,frequency
.,3709684
",",3450153
 the,2634472
 and,1822284
 to,1603011
 a,1501850
 of,1285060
:,893599
 in,851699
 is,836788
',720306
-,630322
 that,581210
 you,567536
s,529745
 for,492299
 I,444658
 with,418827
" """,398432
 as,376197
 can,362766
 or,346178
 on,341280
 it,335788
 de,333443
 are,326928
 be,320918
),304660
 (,255002
 NAME_1,251763
 The,251563
 your,246662
?,241203
(,223234
 ,216459
 have,215988
 =,214516
 an,213674
"""",210852
 not,209872
 by,180887
t,176693
 her,171108
/,163380
 was,161073
 this,158761
 from,154989
m,153425
 e,149584
"
",147605
a,147194
ing,144910
 me,136613
 will,135199
 `,134260
 do,132444
 la,132103
i,130744
1,128708
 their,127766
 my,125598
_,125034
 NAME_2,123158
2,120774
 has,119549
 but,118995
n,118706
 more,118407
 que,118252
 use,116970
 -,116645
ed,115916
 about,114511
o,113614
"
*",110839
 used,110673
!,109987
 1,108616
  ,108456
uu,108309
 It,107821
 any,107187
 other,107181
 which,107065
 at,104635
 also,104630
 they,102326
 ',102211
`,101596
 A,99996
"
```",98127
 such,96988
 un,96304
 This,96190
 if,95980
 his,94806
 y,93822
 she,93698
\,93691
re,93117
y,91619
 help,91270
es,89299
 data,89029
 2,87944
er,87093
 its,86125
 he,85943
e,85725
 o,85540
 en,85439
>,85160
 may,84898
 would,84757
 |,83564
 like,82850
;,82841
 all,82736
3,82095
ar,81990
I,80275
 what,80071
 we,79181
 answer,79119
 model,78250
 information,76160
in,75997
	,75747
""",",75674
en,75245
d,74983
 using,74784
 new,73765
c,73677
 S,73418
],73387
 important,72645
b,72377
 C,72216
 provide,71838
 0,71664
S,70994
 B,70591
 how,70401
 make,69750
".""",69534
 time,69181
0,68697
 so,68392
 one,68031
4,67575
 am,67470
5,67315
A,67295
as,66747
""":",66686
"

",66330
 there,66125
 no,66022
h,65966
 para,65927
 language,65912
al,65701
p,65426
os,65295
 code,64861
 text,64659
 You,64459
 who,63438
 some,63422
 up,62739
 di,61982
C,61963
 AI,61774
u,61559
 3,61177
 NAME_3,60939
 into,60477
"
2",60428
an,60335
 {,60283
 i,60049
f,60004
 them,59569
"
3",58815
l,58590
 l,58518
 M,58282
 out,58135
 should,58118
 could,57712
on,57666
 example,57404
it,57325
 been,57224
ic,56844
 D,56792
 when,56678
[,56569
 и,56504
or,56184
 need,56179
"',",56015
M,55998
 P,55703
 d,55528
k,55491
 including,55263
 She,55220
 se,55051
 had,54990
 each,54802
 only,54676
 company,54652
 chemical,54520
x,54389
z,53809
(),53756
r,53525
 based,53124
 specific,53015
 el,52889
 know,52243
B,52216
 system,52175
 T,51721
g,51529
 [,51447
"

1",51216
 5,51092
G,50986
is,50828
 over,50682
"
4",50523
 him,50006
 function,49973
 In,49871
ers,49752
 way,49734
P,49373
D,48768
 F,48590
=,48245
 want,48010
ly,47883
 R,47704
"
    ",47602
 were,47131
 then,46987
 than,46985
 c,46682
 L,46655
F,46607
 If,46523
le,46269
v,46234
 questions,46073
ation,46065
 different,45670
 number,45227
 just,45073
 b,45034
"

The",44955
 N,44882
 +,44807
 4,44743
 products,44579
w,44436
at,44311
6,44222
 following,43831
 He,43819
 G,43701
T,43491
 per,43421
 n,43275
 H,43093
 und,43060
E,42882
 create,42845
 these,42624
8,42593
 в,42532
ate,42360
"),",41593
 una,41591
 p,41587
NAME_1,41448
st,41442
L,41179
"
5",41166
 well,41138
 um,40879
 feel,40867
 people,40634
The,40501
 le,40453
 es,40418
 between,40274
"
-",40097
el,39895
et,39822
 say,39731
 two,39709
 f,39588
 best,39285
 through,39273
R,39139
):,38896
 process,38746
 10,38647
 range,38550
 é,38543
 words,38535
7,38485
 don,38483
 same,38474
us,38432
 As,38418
 E,38384
 work,38350
 first,38255
 must,38053
ir,37975
ia,37955
 our,37854
 name,37730
 des,37726
 file,37270
 most,37244
 while,37032
 here,37011
am,36797
 t,36779
 em,36743
N,36636
 NAME_4,36613
 They,36610
 get,36555
id,36515
"

#",36483
"
        ",36365
 et,36251
H,36209
é,36189
 question,36172
 m,36152
 being,36026
 s,35934
 where,35750
 на,35545
 many,35382
9,35380
 Here,35378
 world,35345
 list,35148
 However,35011
 W,34820
 con,34700
j,34583
ant,34286
 user,34242
ol,34232
ve,34017
 high,33982
 K,33795
ent,33702
"=""",33582
 v,33427
 g,33404
 set,33396
ch,33391
"

In",33324
ive,33173
 take,33165
).,32990
ra,32904
 self,32592
 body,32355
"(""",32190
00,32081
 industry,32059
 value,31928
 always,31889
ll,31764
 find,31716
il,31697
V,31428
 production,31415
O,31352
 die,31216
 good,31102
ie,30843
 da,30826
are,30786
 something,30771
 с,30745
 O,30678
est,30639
’,30527
 del,30387
ro,30370
 6,30358
%,30292
);,30178
ist,30111
te,30033
 person,30023
 k,29837
 What,29789
 possible,29773
ating,29751
 V,29691
W,29642
self,29620
 x,29399
 uma,29359
un,29309
able,29233
 input,29171
to,29089
"
  ",29040
 see,28892
 both,28844
 type,28761
ment,28753
 include,28649
