token,frequency
.,746582
",",728242
 the,583379
 a,318487
 and,311665
 to,298603
:,289131
 of,245764
 in,216924
 is,173786
 you,154543
',152027
-,151844
?,141920
s,130095
" """,119507
 for,115936
 with,106058
 ,102746
 that,93175
 I,90916
),88996
 are,87232
 on,86017
"
",81258
 (,81071
 NAME_1,76494
 as,68674
 it,67517
 be,63068
 de,62838
 an,62041
 or,59806
 answer,58423
t,58024
/,57575
"""",57299
 me,56089
 your,55175
 not,53505
 can,50651
  ,50484
 from,47447
 have,46331
 this,45479
(,44928
a,43735
 about,42348
n,41582
 by,41520
 do,40806
1,40178
ing,39724
 The,39265
 will,38678
_,38529
 NAME_2,37769
i,37695
 ',36695
	,36536
 what,36404
2,36242
m,35978
 =,35141
ed,34696
o,33900
 was,33700
 at,33527
 only,32584
 her,32405
 1,32299
 my,31072
 -,30950
 A,30164
S,29639
y,29285
d,29264
e,29086
"

",28135
 if,27870
 words,27630
re,27525
""",",27489
],27306
 more,27277
 say,26898
;,26683
3,26646
0,26443
A,26376
""":",26326
er,26255
 has,25798
I,25779
\,25672
G,25488
 S,25383
 text,25262
es,25171
 2,25087
c,25072
 all,25037
 following,24993
 e,24957
 should,24648
!,24248
 You,24155
b,24012
 no,23744
 C,23740
4,23720
 but,23696
’,23613
 one,23430
 how,23286
 must,23245
 like,23215
 B,23044
in,22401
 que,22331
on,22288
 un,22250
C,22236
 any,22170
 based,22166
 la,22125
 when,22114
h,21906
 same,21816
[,21648
p,21524
M,21357
5,21298
u,21058
 system,20893
al,20582
 i,20527
 he,20511
 which,20337
 [,20155
 we,19926
"',",19868
 3,19862
B,19711
E,19578
 0,19518
 M,19368
it,19283
en,19205
 his,19194
f,19162
D,19154
ar,19120
 their,19115
l,18808
as,18800
ly,18747
 they,18619
 code,18595
 use,18438
 than,18352
 5,18345
 instructions,18327
P,18227
 assistant,18205
 NAME_3,18150
k,18138
g,18028
an,17929
 so,17859
F,17850
 T,17703
T,17600
 P,17544
 she,17536
 en,17313
 d,17296
r,17028
 would,16987
 model,16957
 up,16915
or,16597
 D,16552
 o,16546
is,16473
6,16353
 make,16281
>,16213
 l,16085
 What,16011
w,15999
 who,15988
 |,15960
L,15955
You,15936
 F,15914
ic,15812
 R,15780
 below,15747
ive,15694
R,15622
 c,15619
8,15615
 N,15529
 time,15489
 y,15397
v,15285
 some,15260
".""",15250
7,15237
 other,15177
os,15106
00,15005
 completion,14959
"
-",14918
 there,14861
H,14787
 want,14769
 into,14756
 {,14569
 10,14518
9,14438
 b,14409
 out,14301
 L,14245
 n,14114
x,14060
O,14047
 them,14033
" 
",14011
 give,13980
 question,13957
ers,13939
=,13901
 H,13854
z,13828
at,13799
 something,13744
 E,13685
 G,13676
 name,13665
 :,13658
 new,13611
 python,13596
U,13545
 .,13518
N,13394
 write,13357
ation,13330
 4,13287
 each,13274
Write,13264
 information,13203
ating,13159
 data,13117
 over,13069
st,13057
W,12879
le,12868
 two,12823
"
A",12778
 also,12768
el,12735
 m,12704
Y,12644
 am,12633
ate,12570
"),",12552
 first,12511
NAME_1,12489
 AI,12462
 using,12447
 p,12428
 know,12418
%,12374
 just,12328
 need,12324
" ,",12313
 t,12270
 then,12253
 user,12161
 story,12121
 W,12104
 f,11859
et,11803
"
    ",11667
 в,11576
 list,11535
 s,11522
 g,11308
 It,11277
 now,11129
V,11115
um,11088
ant,11083
 sentences,11028
 don,11012
ent,10904
).,10894
 were,10873
 на,10860
 get,10858
 para,10820
 document,10800
id,10755
no,10752
 6,10698
am,10676
"
C",10632
 ?,10593
 most,10533
 el,10509
ch,10463
 been,10443
 50,10414
 where,10406
 NAME_4,10349
 se,10342
j,10338
 its,10280
us,10269
ia,10227
 и,10217
 If,10170
 provide,10094
 number,10052
 O,10040
 le,10006
 In,9984
10,9951
 between,9904
 language,9862
 people,9817
 v,9788
ol,9771
 K,9705
il,9643
},9638
ve,9617
 does,9586
 summary,9496
 chemical,9495
 complete,9491
 help,9491
ir,9459
What,9445
ra,9411
 thing,9407
 way,9403
 response,9380
 had,9338
ist,9335
K,9327
un,9327
 This,9321
ad,9285
 company,9278
 send,9273
 How,9262
 our,9257
